,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Myrviken (Berg kommun),Myrviken,Berg,306,92,333,tätort,63.0002515,14.3388331,viken
Målerås (Nybro kommun),Målerås,Nybro,206,78,264,tätort,56.91468,15.5694877,ås
Målilla (Hultsfred kommun),Målilla,Hultsfred,1415,323,438,tätort,57.3876016,15.8121695,la
Målsta (Östersund kommun),Målsta,Östersund,337,122,276,tätort,63.1532936,14.5038761,sta
Månkarbo (Tierp kommun),Månkarbo,Tierp,683,102,670,tätort,60.2262119,17.4662869,bo
Måttsund (Luleå kommun),Måttsund,Luleå,644,155,414,tätort,65.5441633,21.9025362,sund
Märsta (Sigtuna kommun),Märsta,Sigtuna,29199,670,4358,tätort,59.6252383,17.8515672,sta
Märsön (Enköping kommun),Märsön,Enköping,220,180,122,tätort,59.5129246,17.037484766820874,ön
Möklinta (Sala kommun),Möklinta,Sala,317,87,366,tätort,60.0860283,16.5447778,ta
Mölle (Höganäs kommun),Mölle,Höganäs,601,86,701,tätort,56.2827467,12.4983228,
Mölltorp (Karlsborg kommun),Mölltorp,Karlsborg,1071,148,724,tätort,58.4943093,14.41381,torp
Mölnbo (Södertälje kommun),Mölnbo,Södertälje,1062,150,709,tätort,59.0486039,17.41531,bo
Mölnlycke (Härryda kommun),Mölnlycke,Härryda,18320,1159,1580,tätort,57.6583613,12.1135762,lycke
Mönsterås (Mönsterås kommun),Mönsterås,Mönsterås,5270,500,1054,tätort,57.0429558,16.4448013,ås
Mörarp (Helsingborg kommun),Mörarp,Helsingborg,1889,127,1482,tätort,56.05146675,12.84905214832817,arp
Mörbylånga (Mörbylånga kommun),Mörbylånga,Mörbylånga,1851,232,796,tätort,56.5249607,16.3802337,långa
Mörlunda (Hultsfred kommun),Mörlunda,Hultsfred,851,233,365,tätort,57.3233025,15.8653134,lunda
Mörrum (Karlshamn kommun),Mörrum,Karlshamn,4026,464,868,tätort,56.1928572,14.7532545,rum
Mörsil (Åre kommun),Mörsil,Åre,827,133,622,tätort,63.3098488,13.6573978,
Naglarby (Säter kommun),Naglarby,Säter,355,81,436,tätort,60.4200339,15.5741332,arby
Nedansjö (Sundsvall kommun),Nedansjö,Sundsvall,283,87,325,tätort,62.3764365,16.848226,sjö
Nedre Gärdsjö (Rättvik kommun),Nedre Gärdsjö,Rättvik,389,192,203,tätort,60.9385784,15.2254729,sjö
Nibble (Södertälje kommun),Nibble,Södertälje,240,48,501,tätort,59.0641917,17.6241006,
Nikkala (Haparanda kommun),Nikkala,Haparanda,414,116,358,tätort,65.8040579,23.9142708,ala
Nissafors (Gnosjö kommun),Nissafors,Gnosjö,312,50,626,tätort,57.407874,13.6371419,fors
Nitta (Ulricehamn kommun),Nitta,Ulricehamn,370,51,723,tätort,57.8275888,13.1937728,ta
Nittorp (Tranemo kommun),Nittorp,Tranemo,204,35,576,tätort,57.5796828,13.4922388,torp
Njurundabommen (Sundsvall kommun),Njurundabommen,Sundsvall,2854,335,851,tätort,62.26278055,17.38275200596364,
Njutånger (Hudiksvall kommun),Njutånger,Hudiksvall,832,167,497,tätort,61.6134857,17.0529067,ånger
Nolsjö (Österåker kommun),Nolsjö,Österåker,563,279,202,tätort,59.5328301,18.61562,sjö
Nolvik (Göteborg kommun),Nolvik,Göteborg,1393,187,745,tätort,57.7772785,11.8315997,vik
Nora (Nora kommun),Nora,Nora,6773,605,1120,tätort,59.5187493,15.0387972,nora
Norberg (Norberg kommun),Norberg,Norberg,4543,677,671,tätort,60.067823,15.9210594,berg
Nordanå (Staffanstorp kommun),Nordanå,Staffanstorp,250,40,624,tätort,55.6234556,13.1228038,å
Nordanö (Avesta kommun),Nordanö,Avesta,437,47,933,tätort,60.1465195,16.2317519,ö
Nordingrå (Kramfors kommun),Nordingrå,Kramfors,268,64,417,tätort,62.9299527,18.2901941,rå
Nordkroken (Vänersborg kommun),Nordkroken,Vänersborg,453,72,632,tätort,58.382685,12.41426,
Nordmaling (Nordmaling kommun),Nordmaling,Nordmaling,2636,298,886,tätort,63.49211235,19.53571880547134,
Nordvära (Varberg kommun),Nordvära,Varberg,242,120,202,tätort,57.2754934,12.1812629,
Källstorp (Varberg kommun),Källstorp,Varberg,242,120,202,tätort,57.2712475,12.1933651,torp
Nordöstra Göteborg (Göteborg kommun),Nordöstra Göteborg,Göteborg,47072,1085,4338,tätort,,,borg
Norje (Sölvesborg kommun),Norje,Sölvesborg,834,291,287,tätort,56.122104,14.6687451,
Norr Amsberg (Borlänge kommun),Norr Amsberg,Borlänge,236,69,341,tätort,60.5304723,15.3561558,berg
Norra Bro (Örebro kommun),Norra Bro,Örebro,894,148,604,tätort,59.2265849,15.2505183,bro
Norra Ingaröstrand (Värmdö kommun),Norra Ingaröstrand,Värmdö,821,456,180,tätort,59.2800517,18.49440252724441,strand
Norra Lagnö (Värmdö kommun),Norra Lagnö,Värmdö,362,94,383,tätort,59.3542595,18.4083463,ö
Norra Muskö (Haninge kommun),Norra Muskö,Haninge,216,466,46,tätort,58.995830850000004,18.11485777044623,ö
Norra Riksten (Botkyrka kommun),Norra Riksten,Botkyrka,2810,60,4720,tätort,59.1697282,17.9204379,sten
Norra Rörum (Höör kommun),Norra Rörum,Höör,219,47,463,tätort,56.0176555,13.5075043,rum
Norra Vindö (Värmdö kommun),Norra Vindö,Värmdö,255,496,51,tätort,59.34617845,18.698999795544452,ö
Norra Visby (Region Gotland kommun),Norra Visby,Region Gotland,652,151,432,tätort,57.6646094,18.332447,by
Norraby (Tranås kommun),Norraby,Tranås,244,34,716,tätort,58.0550044,15.0067972,by
Norrbo (Ludvika kommun),Norrbo,Ludvika,259,185,140,tätort,60.2729077,14.9495607,bo
Västansjö (Ludvika kommun),Västansjö,Ludvika,259,185,140,tätort,60.1591716,14.3905208,sjö
Norrfjärden (Piteå kommun),Norrfjärden,Piteå,1581,250,632,tätort,65.4196199,21.5006462,
Norr-Hede (Härjedalen kommun),Norr-Hede,Härjedalen,226,82,275,tätort,62.4247458,13.5343836,
Norrhult-Klavreström (Uppvidinge kommun),Norrhult-Klavreström,Uppvidinge,1238,279,444,tätort,57.1275518,15.1621897,ström
