,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Abbekås (Skurup kommun),Abbekås,Skurup,825,158,523,tätort,55.3992749,13.6002756,ås
Abborrberget (Strängnäs kommun),Abborrberget,Strängnäs,2655,165,1606,tätort,59.3857744,17.0382102,berget
Agunnaryd (Ljungby kommun),Agunnaryd,Ljungby,210,48,437,tätort,56.749574,14.146603,ryd
Alberga (Eskilstuna kommun),Alberga,Eskilstuna,406,60,682,tätort,59.280621,16.1145003,berga
Alby (Ånge kommun),Alby,Ånge,327,149,220,tätort,62.4940614,15.4766852,by
Alfta (Ovanåker kommun),Alfta,Ovanåker,2461,382,644,tätort,61.345719,16.0001042,ta
Algutsrum (Mörbylånga kommun),Algutsrum,Mörbylånga,858,175,490,tätort,56.6794265,16.5297957,rum
Alingsås (Alingsås kommun),Alingsås,Alingsås,27266,1410,1934,tätort,57.9299658,12.5329678,ås
Allerum (Helsingborg kommun),Allerum,Helsingborg,725,94,770,tätort,56.1099864,12.6918267,rum
Almunge (Uppsala kommun),Almunge,Uppsala,888,149,595,tätort,59.8773068,18.0461233,
Alsike (Knivsta kommun),Alsike,Knivsta,4933,338,1461,tätort,59.7566269,17.7635873,sike
Alstad (Trelleborg kommun),Alstad,Trelleborg,341,54,631,tätort,55.4543742,13.2095014,stad
Alster (Karlstad kommun),Alster,Karlstad,771,146,529,tätort,59.3981176,13.6084317,
Alsterbro (Nybro kommun),Alsterbro,Nybro,451,105,431,tätort,56.9402572,15.9139431,bro
Alstermo (Uppvidinge kommun),Alstermo,Uppvidinge,885,175,505,tätort,56.9742714,15.6526808,mo
Alunda (Östhammar kommun),Alunda,Östhammar,2629,298,882,tätort,60.0664532,18.0780717,lunda
Alvesta (Alvesta kommun),Alvesta,Alvesta,9076,647,1403,tätort,56.8997562,14.5546493,sta
Alvhem (Ale kommun),Alvhem,Ale,333,86,389,tätort,58.0063995,12.1576462,hem
Alvik (Leksand kommun),Alvik,Leksand,306,171,179,tätort,60.7477267,14.874597,vik
Ambjörnarp (Tranemo kommun),Ambjörnarp,Tranemo,300,103,290,tätort,57.4213149,13.2945589,arp
Ammenäs (Uddevalla kommun),Ammenäs,Uddevalla,603,149,406,tätort,58.3113955,11.8184075,näs
Anderslöv (Trelleborg kommun),Anderslöv,Trelleborg,1997,138,1447,tätort,55.4388771,13.3186826,löv
Anderstorp (Gislaved kommun),Anderstorp,Gislaved,5140,638,806,tätort,57.2829822,13.6368211,torp
Aneby (Aneby kommun),Aneby,Aneby,3690,406,909,tätort,57.838069,14.8100784,by
Angelstad (Ljungby kommun),Angelstad,Ljungby,255,62,414,tätort,56.8280083,13.7622687,stad
Angered (Göteborg kommun),Angered,Göteborg,1417,237,597,tätort,57.81327775,12.118507262629436,red
Ankarsrum (Västervik kommun),Ankarsrum,Västervik,1328,168,788,tätort,57.6990558,16.3356297,rum
Ankarsvik (Sundsvall kommun),Ankarsvik,Sundsvall,1015,208,488,tätort,62.373596,17.40904,vik
Anneberg (Nässjö kommun),Anneberg,Nässjö,826,117,709,tätort,57.7233889,14.8067122,berg
Annelöv (Landskrona kommun),Annelöv,Landskrona,453,68,671,tätort,55.8365448,13.0197328,löv
Antnäs (Luleå kommun),Antnäs,Luleå,1723,295,583,tätort,65.5525529,21.8428729,näs
Aplared (Borås kommun),Aplared,Borås,450,65,697,tätort,57.6501253,13.067945,red
Arboga (Arboga kommun),Arboga,Arboga,10981,714,1538,tätort,59.394187,15.8396643,
Arbrå (Bollnäs kommun),Arbrå,Bollnäs,2105,295,713,tätort,61.4730882,16.374964,rå
Ardala (Skara kommun),Ardala,Skara,715,65,1103,tätort,58.3620073,13.3380561,dala
Arentorp (Vara kommun),Arentorp,Vara,507,82,615,tätort,58.241915,12.8738943,torp
Arild (Höganäs kommun),Arild,Höganäs,705,333,212,tätort,56.2738191,12.5721097,
Arjeplog (Arjeplog kommun),Arjeplog,Arjeplog,1782,223,799,tätort,66.0517686,17.89168,
Arkelstorp (Kristianstad kommun),Arkelstorp,Kristianstad,810,158,511,tätort,56.1739234,14.2897744,torp
Arninge (Täby kommun),Arninge,Täby,1354,155,872,tätort,59.4647097,18.129501,inge
Arnö (Nyköping kommun),Arnö,Nyköping,4662,247,1890,tätort,58.7297054,17.0214131,ö
Arrie (Vellinge kommun),Arrie,Vellinge,213,38,565,tätort,55.5155259,13.0851347,ie
Arvidsjaur (Arvidsjaur kommun),Arvidsjaur,Arvidsjaur,4607,427,1079,tätort,65.5947672,19.1695024,jaur
Arvidsvik (Kungälv kommun),Arvidsvik,Kungälv,1028,116,885,tätort,57.8901059,11.5959299,vik
Arvika (Arvika kommun),Arvika,Arvika,14095,1169,1205,tätort,59.6543555,12.5916225,vika
Aröd (Kungälv kommun),Aröd,Kungälv,888,265,335,tätort,57.9577881,11.7689991,röd
Timmervik (Kungälv kommun),Timmervik,Kungälv,888,265,335,tätort,57.9017883,12.0368307,vik
Askeby (Linköping kommun),Askeby,Linköping,505,58,875,tätort,58.4066961,15.871683116298325,by
Askersby (Örebro kommun),Askersby,Örebro,254,59,432,tätort,59.1489606,15.474376,by
Askersund (Askersund kommun),Askersund,Askersund,4172,386,1081,tätort,58.8799641,14.9028069,sund
Asmundtorp (Landskrona kommun),Asmundtorp,Landskrona,1599,118,1351,tätort,55.8855959,12.9471949,torp
Aspeboda (Falu kommun),Aspeboda,Falu,345,176,196,tätort,60.560042,15.4918744,boda
Asperö (Göteborg kommun),Asperö,Göteborg,419,38,1090,tätort,57.64628555,11.80021166698275,ö
Aspås (Krokom kommun),Aspås,Krokom,482,148,326,tätort,63.3650346,14.4847004,ås
Avan (Luleå kommun),Avan,Luleå,210,61,344,tätort,65.6804173,21.8046379,
Avesta (Avesta kommun),Avesta,Avesta,16498,1500,1100,tätort,60.1469553,16.1826996,sta
Axvall (Skara kommun),Axvall,Skara,1142,116,985,tätort,58.3891661,13.5747695,vall
Backa (Rättvik kommun),Backa,Rättvik,626,355,176,tätort,60.9240204,15.1208281,backa
Backaryd (Ronneby kommun),Backaryd,Ronneby,397,71,562,tätort,56.3472091,15.1544828,ryd
Backe (Strömsund kommun),Backe,Strömsund,543,150,361,tätort,63.8106436,16.4057931,
Baggetorp (Vingåker kommun),Baggetorp,Vingåker,563,121,465,tätort,59.0081907,16.0634141,torp
Ballingslöv (Hässleholm kommun),Ballingslöv,Hässleholm,362,66,546,tätort,56.2142746,13.8465783,löv
Balsby (Kristianstad kommun),Balsby,Kristianstad,522,69,757,tätort,56.075362,14.2110301,by
Bammarboda (Österåker kommun),Bammarboda,Österåker,664,309,215,tätort,59.5064698,18.4684635,boda
Bankekind (Linköping kommun),Bankekind,Linköping,500,48,1047,tätort,58.3614502,15.853222910286785,
Bankeryd (Jönköping kommun),Bankeryd,Jönköping,8817,750,1176,tätort,57.8631423,14.1278533,ryd
Bara (Svedala kommun),Bara,Svedala,3801,174,2180,tätort,55.5821668,13.1806037,
Barkarö (Västerås kommun),Barkarö,Västerås,1597,157,1017,tätort,59.5557933,16.5041931,ö
Barnarp (Jönköping kommun),Barnarp,Jönköping,2921,202,1445,tätort,58.0688965,14.5417977,arp
Odensjö (Jönköping kommun),Odensjö,Jönköping,2921,202,1445,tätort,57.7076329,14.1757875,sjö
Barsebäck (Kävlinge kommun),Barsebäck,Kävlinge,851,63,1344,tätort,55.7716614,12.9563659,bäck
Barsebäckshamn (Kävlinge kommun),Barsebäckshamn,Kävlinge,477,54,891,tätort,55.7558368,12.9058848,hamn
Baskemölla (Simrishamn kommun),Baskemölla,Simrishamn,308,70,439,tätort,55.5915413,14.3152961,la
Bastuträsk (Norsjö kommun),Bastuträsk,Norsjö,373,90,415,tätort,64.789528,20.0438232,träsk
Beddingestrand (Trelleborg kommun),Beddingestrand,Trelleborg,1440,386,373,tätort,55.3606336,13.4251847,strand
Bengtsfors (Bengtsfors kommun),Bengtsfors,Bengtsfors,3249,390,833,tätort,59.0309288,12.222887,fors
Bengtsheden (Falu kommun),Bengtsheden,Falu,515,182,282,tätort,60.7002137,15.8722929,heden
Bensbyn (Luleå kommun),Bensbyn,Luleå,612,129,475,tätort,65.639826,22.2396659,byn
Berg (Åtvidaberg kommun),Berg,Åtvidaberg,305,54,560,tätort,58.2167865,16.0221066,berg
Berg (Linköping kommun),Berg,Linköping,1272,116,1093,tätort,58.487532,15.52627,berg
Berg (Gävle kommun),Berg,Gävle,304,118,258,tätort,60.4031589,17.0177439,berg
Berga (Högsby kommun),Berga,Högsby,788,145,544,tätort,57.2173981,16.0346698,berga
Bergagård (Falkenberg kommun),Bergagård,Falkenberg,245,86,283,tätort,56.9815167,12.5775003,
Bergby (Gävle kommun),Bergby,Gävle,1575,467,337,tätort,60.9290646,17.0410031,by
Bergeforsen (Timrå kommun),Bergeforsen,Timrå,1766,282,626,tätort,62.526318,17.3739827,forsen
Berghem (Mark kommun),Berghem,Mark,374,86,435,tätort,57.4668015,12.5894438,hem
Bergkvara (Torsås kommun),Bergkvara,Torsås,1221,258,472,tätort,56.3907509,16.070362,
Bergnäset (Luleå kommun),Bergnäset,Luleå,3683,299,1234,tätort,65.5682242,22.1101459,
Bergshammar (Nyköping kommun),Bergshammar,Nyköping,814,66,1241,tätort,58.741404,16.912554,hammar
Bergshamra (Norrtälje kommun),Bergshamra,Norrtälje,604,262,231,tätort,59.6395313,18.6564963,
Bergsjö (Nordanstig kommun),Bergsjö,Nordanstig,1290,186,694,tätort,61.9837757,17.0583699,sjö
Bergströmshusen (Staffanstorp kommun),Bergströmshusen,Staffanstorp,398,31,1276,tätort,55.6766809,13.1733609,
Bergsviken (Piteå kommun),Bergsviken,Piteå,2288,214,1068,tätort,65.307803,21.390501,viken
Bergvik (Söderhamn kommun),Bergvik,Söderhamn,705,165,427,tätort,61.2553522,16.8325443,vik
Bestorp (Linköping kommun),Bestorp,Linköping,510,95,536,tätort,58.2334751,15.7332185,torp
Betsede (Värmdö kommun),Betsede,Värmdö,317,56,568,tätort,59.3297852,18.431584,
Bettna (Flen kommun),Bettna,Flen,397,70,564,tätort,58.9072551,16.6387139,
Bie (Katrineholm kommun),Bie,Katrineholm,521,63,822,tätort,59.0878603,16.2116606,ie
Billeberga (Svalöv kommun),Billeberga,Svalöv,1049,141,742,tätort,55.882914,12.9990874,berga
Billinge (Eslöv kommun),Billinge,Eslöv,425,81,527,tätort,55.9625291,13.3317811,inge
Billingsfors (Bengtsfors kommun),Billingsfors,Bengtsfors,1167,160,730,tätort,58.9833543,12.2467712,fors
Billsta (Örnsköldsvik kommun),Billsta,Örnsköldsvik,358,103,348,tätort,63.3228771,18.5144955,sta
Bjurholm (Bjurholm kommun),Bjurholm,Bjurholm,1030,166,620,tätort,63.9320592,19.2189925,holm
Bjursås (Falu kommun),Bjursås,Falu,2083,560,372,tätort,60.7376045,15.4501906,ås
Bjuv (Bjuv kommun),Bjuv,Bjuv,10660,967,1102,tätort,56.0842983,12.9167304,
Bjärlöv (Kristianstad kommun),Bjärlöv,Kristianstad,217,69,316,tätort,56.1129447,14.0871099,löv
Bjärnum (Hässleholm kommun),Bjärnum,Hässleholm,2814,434,649,tätort,56.2904411,13.7114221,um
Bjärred (Lomma kommun),Bjärred,Lomma,9935,510,1949,tätort,55.7221863,13.0216436,red
Bjärsjölagård (Sjöbo kommun),Bjärsjölagård,Sjöbo,370,75,495,tätort,55.7231071,13.689776,
Bjästa (Örnsköldsvik kommun),Bjästa,Örnsköldsvik,1884,244,772,tätort,63.2038751,18.5002737,sta
Björbo (Gagnef kommun),Björbo,Gagnef,661,193,342,tätort,60.456683,14.7272515,bo
Björboholm (Lerum kommun),Björboholm,Lerum,1142,255,449,tätort,57.8735794,12.3280504,holm
Björke (Gävle kommun),Björke,Gävle,665,140,474,tätort,60.7652778,17.189879,
Björketorp (Mark kommun),Björketorp,Mark,555,91,607,tätort,57.4262839,12.5236873,torp
Björklinge (Uppsala kommun),Björklinge,Uppsala,3336,305,1092,tätort,60.0291369,17.551431,inge
Björktorp (Strängnäs kommun),Björktorp,Strängnäs,460,170,270,tätort,59.1955138,17.2274474,torp
Sanda (Strängnäs kommun),Sanda,Strängnäs,460,170,270,tätort,59.4197992,16.9850272,
Björkvik (Katrineholm kommun),Björkvik,Katrineholm,461,119,388,tätort,58.8397725,16.5138323,vik
Björköby (Vetlanda kommun),Björköby,Vetlanda,326,84,390,tätort,57.5192168,14.9059189,by
Björlanda (Göteborg kommun),Björlanda,Göteborg,1126,158,713,tätort,57.7617862,11.8233916,landa
Björna (Örnsköldsvik kommun),Björna,Örnsköldsvik,396,73,541,tätort,63.5501179,18.5998177,
Björnarås (Mölndal kommun),Björnarås,Mölndal,323,41,796,tätort,57.5743612,12.0507292,ås
Björneborg (Kristinehamn kommun),Björneborg,Kristinehamn,1178,144,816,tätort,59.242214,14.2506109,borg
Björnlunda (Gnesta kommun),Björnlunda,Gnesta,832,116,718,tätort,59.0660266,17.159785,lunda
Björnänge (Åre kommun),Björnänge,Åre,752,401,187,tätort,63.3851677,13.1387068,änge
Björnö (Växjö kommun),Björnö,Växjö,210,15,1363,tätort,57.173558,14.6060965,ö
Björsäter (Åtvidaberg kommun),Björsäter,Åtvidaberg,387,73,534,tätort,58.3356123,16.024211,säter
Blackstalund (Uppsala kommun),Blackstalund,Uppsala,260,78,334,tätort,59.9630562,17.3826215,lund
Bleket (Tjörn kommun),Bleket,Tjörn,446,117,382,tätort,57.9532505,11.5703756,
Blentarp (Sjöbo kommun),Blentarp,Sjöbo,1461,254,576,tätort,55.5841581,13.5990807,arp
Blidsberg (Ulricehamn kommun),Blidsberg,Ulricehamn,553,113,489,tätort,57.9305831,13.4933452,berg
Blidö (Norrtälje kommun),Blidö,Norrtälje,258,564,46,tätort,59.6145386,18.90146437159957,ö
Blixbo (Falu kommun),Blixbo,Falu,279,105,265,tätort,60.6292178,15.8264306,bo
Blombacka (Karlstad kommun),Blombacka,Karlstad,204,96,212,tätort,59.6067671,13.8004316,backa
Blomstermåla (Mönsterås kommun),Blomstermåla,Mönsterås,2410,378,638,tätort,56.9845703,16.3286835,måla
Blåsmark (Piteå kommun),Blåsmark,Piteå,291,57,512,tätort,65.2652847,21.2927158,mark
Bläshammar (Varberg kommun),Bläshammar,Varberg,958,187,513,tätort,57.1532529,12.2573197,hammar
Trönningenäs (Varberg kommun),Trönningenäs,Varberg,958,187,513,tätort,57.138731,12.2238818,näs
Blötberget (Ludvika kommun),Blötberget,Ludvika,271,58,470,tätort,60.1267746,15.0587897,berget
Bockara (Oskarshamn kommun),Bockara,Oskarshamn,364,101,360,tätort,57.2618364,16.0651399,
Boda (Rättvik kommun),Boda,Rättvik,522,282,185,tätort,61.0113215,15.2137181,boda
Bodafors (Nässjö kommun),Bodafors,Nässjö,2036,242,843,tätort,57.5052622,14.7033794,fors
Boden (Boden kommun),Boden,Boden,16847,1417,1189,tätort,65.8275004,21.6964105,
Bohus-Björkö (Öckerö kommun),Bohus-Björkö,Öckerö,1487,103,1439,tätort,57.7345679,11.681608450794595,ö
Boliden (Skellefteå kommun),Boliden,Skellefteå,1639,146,1126,tätort,64.8670486,20.3873335,liden
Bollebygd (Bollebygd kommun),Bollebygd,Bollebygd,4413,341,1295,tätort,57.6688624,12.5707216,
Bollnäs (Bollnäs kommun),Bollnäs,Bollnäs,13962,1287,1085,tätort,61.3513005,16.3972013,näs
Bollstabruk (Kramfors kommun),Bollstabruk,Kramfors,1863,523,356,tätort,62.9971425,17.6757247,bruk
Bondstorp (Vaggeryd kommun),Bondstorp,Vaggeryd,219,56,391,tätort,,,torp
Bonäs (Mora kommun),Bonäs,Mora,391,107,364,tätort,61.0715557,14.4858613,näs
Bor (Värnamo kommun),Bor,Värnamo,1291,165,781,tätort,57.1126382,14.1664625,
Borensberg (Motala kommun),Borensberg,Motala,3092,296,1045,tätort,58.5656587,15.2802181,berg
Borggård (Finspång kommun),Borggård,Finspång,246,47,522,tätort,58.7302031,15.5589908,
Borgholm (Borgholm kommun),Borgholm,Borgholm,4364,913,478,tätort,56.8799276,16.6561377,holm
Borgstena (Borås kommun),Borgstena,Borås,428,107,400,tätort,57.8838055,13.0131695,
Borlänge (Borlänge kommun),Borlänge,Borlänge,43107,3165,1362,tätort,60.4856426,15.4234561,änge
Borrby (Simrishamn kommun),Borrby,Simrishamn,981,103,952,tätort,55.4580331,14.1808853,by
Borås (Borås kommun),Borås,Borås,72984,2893,2523,tätort,57.7210839,12.9407407,ås
Bosnäs (Borås kommun),Bosnäs,Borås,448,100,447,tätort,57.6676484,12.8505706,näs
Botsmark (Umeå kommun),Botsmark,Umeå,202,39,520,tätort,64.2534035,20.2461959,mark
Bottnaryd (Jönköping kommun),Bottnaryd,Jönköping,739,87,845,tätort,57.7695139,13.8261337,ryd
Bovallstrand (Sotenäs kommun),Bovallstrand,Sotenäs,438,136,321,tätort,58.4753084,11.3304584,strand
Boxholm (Boxholm kommun),Boxholm,Boxholm,3329,441,754,tätort,58.1981005,15.0571207,holm
Brantevik (Simrishamn kommun),Brantevik,Simrishamn,345,87,398,tätort,55.5151992,14.345963,vik
Brastad (Lysekil kommun),Brastad,Lysekil,2036,347,586,tätort,58.3820066,11.4851818,stad
Braås (Växjö kommun),Braås,Växjö,1743,153,1138,tätort,57.0597928,15.0483561,ås
Bredared (Borås kommun),Bredared,Borås,327,60,544,tätort,57.8057829,12.9029859,red
Bredaryd (Värnamo kommun),Bredaryd,Värnamo,1556,223,697,tätort,57.1741048,13.7389376,ryd
Bredbyn (Örnsköldsvik kommun),Bredbyn,Örnsköldsvik,1268,194,653,tätort,63.4488661,18.1118865,byn
Bredsand (Enköping kommun),Bredsand,Enköping,1413,229,618,tätort,59.5997035,17.0670895,
Bredviken (Kalix kommun),Bredviken,Kalix,363,57,634,tätort,65.8286416,23.214159330292286,viken
Bro (Upplands-Bro kommun),Bro,Upplands-Bro,8915,445,2005,tätort,59.514658,17.6426027,bro
Broaryd (Gislaved kommun),Broaryd,Gislaved,289,71,409,tätort,57.1202315,13.2583524,ryd
Broby (Östra Göinge kommun),Broby,Östra Göinge,3443,390,883,tätort,56.2549337,14.0777187,by
Brokind (Linköping kommun),Brokind,Linköping,512,77,664,tätort,58.2181536,15.6814626,
Bromölla (Bromölla kommun),Bromölla,Bromölla,8140,632,1288,tätort,56.076158,14.4681732,la
Brotorp (Säffle kommun),Brotorp,Säffle,278,22,1272,tätort,59.1924707,13.0290301,torp
Brottby (Vallentuna kommun),Brottby,Vallentuna,262,39,671,tätort,59.5609596,18.238716,by
Bruksvallarna (Härjedalen kommun),Bruksvallarna,Härjedalen,210,161,130,tätort,62.6403098,12.4422158,
Brunn (Värmdö kommun),Brunn,Värmdö,1301,215,604,tätort,59.2819195,18.4264952,brunn
Brunna (Upplands-Bro kommun),Brunna,Upplands-Bro,4015,345,1165,tätort,59.503435,17.7507322,
Brunnsberg (Älvdalen kommun),Brunnsberg,Älvdalen,209,121,172,tätort,61.2940678,13.9198756,berg
Bruzaholm (Eksjö kommun),Bruzaholm,Eksjö,274,75,363,tätort,57.6424632,15.2719703,holm
Brålanda (Vänersborg kommun),Brålanda,Vänersborg,1554,183,848,tätort,58.5633121,12.3507401,landa
Bräcke (Bräcke kommun),Bräcke,Bräcke,1533,203,755,tätort,62.7521274,15.4198705,
Bräkne-Hoby (Ronneby kommun),Bräkne-Hoby,Ronneby,1719,241,714,tätort,56.2285608,15.1169407,by
Brändön (Luleå kommun),Brändön,Luleå,341,98,349,tätort,65.6953813,22.3365664,ön
Brännland (Umeå kommun),Brännland,Umeå,332,63,527,tätort,63.8664757,20.0768353,land
Brännäset (Umeå kommun),Brännäset,Umeå,278,270,103,tätort,63.6622817,19.9985514,
Boviken (Umeå kommun),Boviken,Umeå,278,270,103,tätort,,,viken
Brännö (Göteborg kommun),Brännö,Göteborg,913,193,473,tätort,57.64378365,11.771863689397328,ö
Brösarp (Tomelilla kommun),Brösarp,Tomelilla,734,97,758,tätort,55.7260391,14.1049163,arp
Bua (Varberg kommun),Bua,Varberg,2110,239,882,tätort,57.2370372,12.1224817,
Buerås (Kungsbacka kommun),Buerås,Kungsbacka,768,91,843,tätort,57.423823,11.9681797,ås
Bullmark (Umeå kommun),Bullmark,Umeå,312,44,715,tätort,64.0285823,20.4839591,mark
Bunkeflostrand (Malmö kommun),Bunkeflostrand,Malmö,14135,495,2854,tätort,55.54982005,12.929947222138855,strand
Bureå (Skellefteå kommun),Bureå,Skellefteå,2587,382,677,tätort,64.6179842,21.200493,eå
Burgsvik (Region Gotland kommun),Burgsvik,Region Gotland,350,127,275,tätort,57.0332117,18.2766964,vik
Burlövs egnahem (Burlöv kommun),Burlövs egnahem,Burlöv,716,29,2498,tätort,55.6358275,13.1019159,hem
Burseryd (Gislaved kommun),Burseryd,Gislaved,999,194,516,tätort,57.2013932,13.2818912,ryd
Burträsk (Skellefteå kommun),Burträsk,Skellefteå,1631,192,849,tätort,64.5190044,20.6557865,träsk
Buskhyttan (Nyköping kommun),Buskhyttan,Nyköping,201,58,345,tätort,58.6650719,16.9420798,tan
Butbro (Finspång kommun),Butbro,Finspång,285,40,713,tätort,58.7163228,15.8344557,bro
Bygdeå (Robertsfors kommun),Bygdeå,Robertsfors,514,79,653,tätort,64.0610888,20.853516,eå
Bygdsiljum (Skellefteå kommun),Bygdsiljum,Skellefteå,313,93,337,tätort,64.3506694,20.5050613,um
Byske (Skellefteå kommun),Byske,Skellefteå,1771,328,540,tätort,64.9545082,21.2057517,
Bålsta (Håbo kommun),Bålsta,Håbo,15210,1148,1325,tätort,59.5682102,17.5293647,sta
Båstad (Båstad kommun),Båstad,Båstad,5513,870,634,tätort,56.4267895,12.8607151,stad
Båtbyggartorp (Upplands Väsby kommun),Båtbyggartorp,Upplands Väsby,207,47,440,tätort,59.5216392,17.8482708,torp
Båtskärsnäs (Kalix kommun),Båtskärsnäs,Kalix,225,66,341,tätort,65.7809286,23.4221389,näs
Bäckaskog (Kristianstad kommun),Bäckaskog,Kristianstad,318,43,743,tätort,56.0442996,14.3342604,skog
Bäckebo (Nybro kommun),Bäckebo,Nybro,226,83,274,tätort,56.8892206,16.0653628,bo
Bäckefors (Bengtsfors kommun),Bäckefors,Bengtsfors,701,140,499,tätort,58.8061271,12.1599693,fors
Bäckhammar (Kristinehamn kommun),Bäckhammar,Kristinehamn,294,83,356,tätort,59.1589394,14.190986,hammar
Bälgviken (Eskilstuna kommun),Bälgviken,Eskilstuna,228,42,544,tätort,59.2498277,16.4607413,viken
Bälinge (Uppsala kommun),Bälinge,Uppsala,2605,189,1381,tätort,59.9488453,17.5429846,inge
Bälinge (Luleå kommun),Bälinge,Luleå,296,62,479,tätort,65.6322135,21.9262661,inge
Bärby (Uppsala kommun),Bärby,Uppsala,363,56,643,tätort,59.8566853,17.8175047,by
Bäsna (Gagnef kommun),Bäsna,Gagnef,664,150,443,tätort,60.5411314,15.2077918,
Bökenäs (Ronneby kommun),Bökenäs,Ronneby,453,249,182,tätort,56.15858,15.3789447,näs
Korsanäs (Ronneby kommun),Korsanäs,Ronneby,453,249,182,tätort,56.14087,15.3407032,näs
Kuggeboda (Ronneby kommun),Kuggeboda,Ronneby,453,249,182,tätort,56.1400077,15.3667035,boda
Böle (Piteå kommun),Böle,Piteå,352,65,538,tätort,65.3861517,21.3225391,böle
Bönan (Gävle kommun),Bönan,Gävle,918,302,304,tätort,60.7361314,17.3032168,
Charlottenberg (Eda kommun),Charlottenberg,Eda,2499,285,876,tätort,59.8839607,12.3049207,berg
Dala-Floda (Gagnef kommun),Dala-Floda,Gagnef,684,228,300,tätort,60.5076925,14.79673,
Dalarö (Haninge kommun),Dalarö,Haninge,1855,604,307,tätort,59.1335185,18.4052397,ö
Dalby (Lund kommun),Dalby,Lund,6602,414,1595,tätort,55.6646637,13.3461589,by
Dals Långed (Bengtsfors kommun),Dals Långed,Bengtsfors,1453,211,689,tätort,58.9259057,12.3063826,ed
Dals Rostock (Mellerud kommun),Dals Rostock,Mellerud,853,143,598,tätort,58.7140856,12.3556541,
Dalsjöfors (Borås kommun),Dalsjöfors,Borås,3725,366,1018,tätort,57.7216986,13.1069626,fors
Dalstorp (Tranemo kommun),Dalstorp,Tranemo,714,144,494,tätort,57.6056025,13.5115338,torp
Dalum (Ulricehamn kommun),Dalum,Ulricehamn,674,78,860,tätort,57.9002966,13.4649246,um
Danholn (Falu kommun),Danholn,Falu,464,80,578,tätort,60.6195452,15.7929596,
Danmark (Uppsala kommun),Danmark,Uppsala,433,55,789,tätort,59.8322934,17.744172,mark
Dannemora (Östhammar kommun),Dannemora,Östhammar,227,68,335,tätort,60.2032735,17.8599065,mora
Dannike (Borås kommun),Dannike,Borås,453,77,592,tätort,57.6887714,13.227561,ike
Degeberga (Kristianstad kommun),Degeberga,Kristianstad,1371,215,639,tätort,55.8371511,14.0892635,berga
Degerfors (Degerfors kommun),Degerfors,Degerfors,7371,735,1003,tätort,59.2361209,14.4297309,fors
Degerhamn (Mörbylånga kommun),Degerhamn,Mörbylånga,309,107,290,tätort,56.3555211,16.4110099,hamn
Deje (Forshaga kommun),Deje,Forshaga,2722,318,856,tätort,59.6059394,13.4636486,
Delary (Älmhult kommun),Delary,Älmhult,207,46,447,tätort,56.5467636,13.9560721,
Delsbo (Hudiksvall kommun),Delsbo,Hudiksvall,2275,317,718,tätort,61.7999994,16.5554308,bo
Dingle (Munkedal kommun),Dingle,Munkedal,895,117,765,tätort,58.5276578,11.578637,
Dingtuna (Västerås kommun),Dingtuna,Västerås,1032,105,980,tätort,59.5724025,16.388665,tuna
Diseröd (Kungälv kommun),Diseröd,Kungälv,1386,122,1133,tätort,57.9246067,12.0288279,röd
Diö (Älmhult kommun),Diö,Älmhult,886,140,633,tätort,56.6393813,14.2211316,ö
Djupekås (Sölvesborg kommun),Djupekås,Sölvesborg,205,32,634,tätort,56.0706715,14.7187006,ås
Djura (Leksand kommun),Djura,Leksand,382,126,304,tätort,60.612263,15.0054703,
Djurås (Gagnef kommun),Djurås,Gagnef,2162,390,555,tätort,60.560541,15.1303132,ås
Djurö (Värmdö kommun),Djurö,Värmdö,1463,643,228,tätort,59.3113621,18.7015752,ö
Djurön (Norrköping kommun),Djurön,Norrköping,280,56,501,tätort,58.6292733,16.3471657,ön
Docksta (Kramfors kommun),Docksta,Kramfors,416,106,391,tätort,63.0573209,18.327456,sta
Domsten (Helsingborg kommun),Domsten,Helsingborg,602,50,1211,tätort,56.1196938,12.6073088,sten
Donsö (Göteborg kommun),Donsö,Göteborg,1453,105,1382,tätort,57.6015754,11.8034621075405,ö
Dorotea (Dorotea kommun),Dorotea,Dorotea,1366,204,671,tätort,64.2619222,16.4083118,
Drag (Kalmar kommun),Drag,Kalmar,536,154,347,tätort,56.7794334,16.4202633,drag
Drottningholm (Ekerö kommun),Drottningholm,Ekerö,313,52,597,tätort,59.324925,17.8873327,holm
Drottningskär (Karlskrona kommun),Drottningskär,Karlskrona,507,237,214,tätort,56.1155969,15.5597974,
Drängsmark (Skellefteå kommun),Drängsmark,Skellefteå,334,63,533,tätort,64.9179693,20.9545824,mark
Dunö (Kalmar kommun),Dunö,Kalmar,414,60,693,tätort,56.6340914,16.2657942,ö
Duvesjön (Kungälv kommun),Duvesjön,Kungälv,310,47,664,tätort,57.9531858,12.0186317,sjön
Dvärsätt (Krokom kommun),Dvärsätt,Krokom,754,131,576,tätort,63.3024114,14.4731993,sätt
Dyvelsten (Forshaga kommun),Dyvelsten,Forshaga,252,46,552,tätort,59.5140428,13.4381483,sten
Dösjebro (Kävlinge kommun),Dösjebro,Kävlinge,930,70,1319,tätort,55.8199778,13.0304533,bro
Ed (Dals-Ed kommun),Ed,Dals-Ed,3066,354,865,tätort,58.9125825,11.9340137,ed
